titles,subtitles,links
IPL 2023: Punjab dazzle; Mumbai out-dazzles,High voltage batting from Ishan and Suryakumar seal a 215-run chase deal for Mumbai.,https://indianexpress.com/article/sports/ipl/ipl-2023-punjab-dazzle-mumbai-out-dazzles-8590169/
Late-night chaos at Jantar Mantar as protesting wrestlers claim police manhandled them,Vinesh alleged that a drunk policeman had assaulted her brother. She claimed that another police officer had shoved her and Sangeeta Phogat.,https://indianexpress.com/article/sports/sport-others/late-night-chaos-at-jantar-mantar-as-protesting-wrestlers-claim-police-manhandled-them-8590174/
"IPL 2023, PBKS vs MI emotional rollercoaster: Tilak Varma the finisher, Matthew Short loves short stuff and unlucky Jofra Archer",Mumbai Indians defeat Punjab Kings by 6 wickets.,https://indianexpress.com/article/sports/ipl/ipl-2023-pbks-vs-mi-emotional-rollercoaster-8590160/
Veronika Kudermetova defeats Jessica Pegula to reach Madrid Open semifinals,"The 12th-seeded Kudermetova sealed her victory with an ace on her second match point to set up a semifinal match against either No. 1 Iga Swiatek or Petra Martic, who will play later Wednesday.",https://indianexpress.com/article/sports/tennis/veronika-kudermetova-defeats-jessica-pegula-to-reach-madrid-open-semifinals-8590151/
Surgery rules Britain’s Emma Raducanu out of French Open and Wimbledon,"Raducanu, who has struggled with form and fitness since her fairytale run to the U.S. Open title as an 18-year-old qualifier in 2021, withdrew from the Madrid Open last month citing an injury to her right hand.",https://indianexpress.com/article/sports/tennis/surgery-rules-britains-emma-raducanu-out-of-french-open-8590081/
Man who ran away from Delhi Cricket citing pressure…: Gautam Gambhir posts cryptic tweet,"Meanwhile, after the LSG vs RCB clash on Monday, Kohli and Gambhir were seen exchanging words and had to be separated by the two sets of players, including RCB captain Faf du Plessis and his LSG counterpart KL Rahul.",https://indianexpress.com/article/sports/ipl/man-who-ran-away-from-delhi-cricket-citing-pressure-gautam-gambhir-posts-cryptic-tweet-8590060/
Dubai to host inaugural Global Chess League,"The inaugural Global Chess League will feature six teams with six players each, including a minimum of two female players and one icon player per team.",https://indianexpress.com/article/sports/chess/dubai-to-host-inaugural-global-chess-league-8590044/
Lionel Messi the latest pawn in proxy rivalry in Middle East,"Messi has been suspended by PSG — reportedly for two weeks, when he won't get paid or be allowed to train or play with the team.",https://indianexpress.com/article/sports/football/lionel-messi-the-latest-pawn-in-proxy-rivalry-in-middle-east-8590041/
Watch: Stunned Marcus Stoinis confirms his dismissal from umpire after a dreamy Ravindra Jadeja ball castles his stumps,Stoinis was the fourth batter for LSG to be struck out quite early in the innings as he was dismissed by Jadeja for 6 off 4 balls.,https://indianexpress.com/article/sports/ipl/watch-stunned-marcus-stoinis-confirms-his-dismissal-from-umpire-after-a-dreamy-ravindra-jadeja-ball-castles-his-stumps-8590001/
Shikhar Dhawan said bowl first so we’ll bowl first: MI captain Rohit Sharma quips after winning toss vs PBKS,"""I asked Shikhar Dhawan what to do. He said bowl first, so we will bowl first,"" Rohit quipped after the toss.",https://indianexpress.com/article/sports/ipl/shikhar-dhawan-said-bowl-first-so-well-bowl-first-mi-captain-rohit-sharma-quips-after-winning-toss-vs-pbks-8589993/
Lionel Messi set to leave Paris Saint Germain at end of season: Reports,"Messi, who was suspended by PSG on Thursday for two weeks without pay due to his recent trip to Saudi Arabia which came without the club’s authorisation, will leave the club at the end of the season.",https://indianexpress.com/article/sports/football/lionel-messi-set-to-leave-paris-saint-germain-at-end-of-season-reports-8589997/
Erik Ten Hag warns Man United against complacency,"United are fourth in the Premier League, seven points ahead of fifth-placed Liverpool who have played a game more.",https://indianexpress.com/article/sports/football/erik-ten-hag-warns-man-united-against-complacency-8589985/
Watch: Jonty Rhodes lends a helping hand to groundsmen as rain curtails LSG vs CSK game,The two teams were forced to split points as their Indian Premier League match was called off due to rain.,https://indianexpress.com/article/sports/ipl/watch-fielding-coach-jonty-rhodes-lent-a-helping-hand-to-groundsmen-as-rain-curtailed-lsg-vs-csk-game-8589922/
"IPL 2023, LSG vs CSK Emotional Rollercoaster: MSD farewell tour, Moeen gets Mayers & Badoni targets midwicket","LSG-CSK game gets washed away, after Badoni half century.",https://indianexpress.com/article/sports/ipl/ipl-2023-lsg-vs-csk-emotional-rollercoaster-msd-farewell-tour-moeen-gets-mayers-8589955/
IPL 2023: Points shared between CSK and LSG after Ayush Badoni sparkles on a rainy day,Rain has final say as match called off after LSG’s Badoni offered sole resistance to CSK spinners,https://indianexpress.com/article/sports/ipl/ipl-2023-points-shared-between-csk-and-lsg-after-badoni-sparkles-on-a-rainy-day-8589952/
