titles,subtitles,links
Lionel Messi set to leave Paris Saint Germain at end of season: Reports,"Messi, who was suspended by PSG on Thursday for two weeks without pay due to his recent trip to Saudi Arabia which came without the club’s authorisation, will leave the club at the end of the season.",https://indianexpress.com/article/sports/football/lionel-messi-set-to-leave-paris-saint-germain-at-end-of-season-reports-8589997/
Erik Ten Hag warns Man United against complacency,"United are fourth in the Premier League, seven points ahead of fifth-placed Liverpool who have played a game more.",https://indianexpress.com/article/sports/football/erik-ten-hag-warns-man-united-against-complacency-8589985/
Watch: Jonty Rhodes lends a helping hand to groundsmen as rain curtails LSG vs CSK game,The two teams were forced to split points as their Indian Premier League match was called off due to rain.,https://indianexpress.com/article/sports/ipl/watch-fielding-coach-jonty-rhodes-lent-a-helping-hand-to-groundsmen-as-rain-curtailed-lsg-vs-csk-game-8589922/
"IPL 2023, LSG vs CSK Emotional Rollercoaster: MSD farewell tour, Moeen gets Mayers & Badoni targets midwicket","LSG-CSK game gets washed away, after Badoni half century.",https://indianexpress.com/article/sports/ipl/ipl-2023-lsg-vs-csk-emotional-rollercoaster-msd-farewell-tour-moeen-gets-mayers-8589955/
IPL 2023: Points shared between CSK and LSG after Ayush Badoni sparkles on a rainy day,Rain has final say as match called off after LSG’s Badoni offered sole resistance to CSK spinners,https://indianexpress.com/article/sports/ipl/ipl-2023-points-shared-between-csk-and-lsg-after-badoni-sparkles-on-a-rainy-day-8589952/
"Women wrestlers move SC seeking permission to file affidavit in sealed cover, matter to be heard on Thursday","On April 28, Delhi Police had filed two FIRs against Singh on the allegations of the wrestlers, hours after Solicitor General Tushar Mehta, appearing for Delhi Police, had told the apex court that a case will be registered on Friday.",https://indianexpress.com/article/sports/sport-others/women-wrestlers-move-sc-seeking-permission-to-file-affidavit-in-sealed-cover-matter-to-be-heard-on-thursday-8589896/
"Cristiano Ronaldo knocks Lionel Messi off the perch, tops Forbes’ list of highest paid athletes","Ronaldo earned £109m last year in “prize money, salaries and bonuses”, as well as off-field “sponsorship deals, appearances fees and memorabilia"" which helped him grab the number one spot, said the Forbes list. Messi, meanwhile, has pocketed £104m ($130m) while playing for Paris Saint Germain.",https://indianexpress.com/article/sports/football/cristiano-ronaldo-knocks-lionel-messi-off-the-perch-tops-forbes-list-of-highest-paid-athlete-8589864/
South Africa fast bowler Shabnim Ismail ends international career,"Ismail, 34, played in 241 international matches across one-day Internationals, Twenty20s and tests, and last appeared in February's World Cup final loss to Australia at Newlands.",https://indianexpress.com/article/sports/cricket/south-africa-fast-bowler-shabnim-ismail-ends-international-career-8589856/
SRH vs KKR Live Streaming Details: When and where to watch Sunrisers Hyderabad vs Kolkata Knight Riders,SRH vs KKR IPL 2023 Live Streaming: Both teams are languishing at the bottom of the table and another loss will put a serious dent in their play-off qualification chances.,https://indianexpress.com/article/sports/ipl/srh-vs-kkr-live-streaming-details-when-and-where-to-watch-sunrisers-hyderabad-vs-kolkata-knight-riders-8589824/
"Well, you have decided it’s my last: MS Dhoni’s quip after asked about ‘swansong tour’","On Wednesday during the toss between Dhoni's Chennai Super Kings and Lucknow Super Giants, commentator Danny Morrison asked how Dhoni is ""enjoying his swansong tour"" to which the CSK skipper had a cool and composed answer.",https://indianexpress.com/article/sports/ipl/well-you-have-decided-its-my-last-ms-dhonis-quip-after-asked-about-swansong-tour-8589734/
Wrestlers’ protest has underlined need for athlete commission in all NSFs: Sharath Kamal,"The Indian Olympic Association's (IOA) Athletes Commission (AC), which was formed last year, had met virtually on Saturday to discuss the wrestlers' protest.",https://indianexpress.com/article/sports/sport-others/wrestlers-protest-has-underlined-need-for-athlete-commission-in-all-nsfs-sharath-kamal-8589711/
Leeds hires Sam Allardyce as manager after firing Javi Gracia,"Allardyce's last coaching role was at West Bromwich Albion for the second half of the 2020-21 season, when he failed in his short-term mission to keep the team in the Premier League.",https://indianexpress.com/article/sports/football/leeds-hires-sam-allardyce-as-manager-after-firing-javi-gracia-8589681/
"PBKS vs MI Live Score IPL 2023: Piyush Chawla spins a web, Punjab three down in Mohali",PBKS vs MI Live Cricket Score IPL Match Today: Mumbai won the toss and invited Punjab to bat first in Mohali. There is a threat of rain in this game.,https://indianexpress.com/article/sports/cricket/pbks-vs-mi-live-score-ipl-2023-punjab-kings-vs-mumbai-indians-latest-scorecard-updates-8589402/
"Mumbai Indians never had iota of doubt in Suryakumar’s skill, talent: Mohammed Kaif","For Mumbai, the biggest positive in the match against Rajasthan Royals was Suryakumar Yadav's return to form. The vice-captain sent a statement with his fiery half-century against RR and sounded an alarm for the opposition.",https://indianexpress.com/article/sports/ipl/mumbai-indians-never-had-iota-of-doubt-in-suryakumars-skill-talent-mohammed-kaif-8589094/
"KL Rahul likely to miss remainder of IPL, doubtful for WTC Final","Opener to undergo rehab at NCA alongside Unadkat, at least two changes expected as selectors set to convene again .",https://indianexpress.com/article/sports/ipl/rahul-likely-to-miss-remainder-of-ipl-doubtful-for-wtc-final-8589081/
"LSG vs CSK Live Score IPL 2023: Match abandoned due to rain at the Ekana, both teams to get a point each","LSG vs CSK Live Cricket Score IPL 2023 Match Today: Lucknow Super Giants will be without their skipper KL Rahul, who in all likelihood will take no further part in the IPL after sustaining a serious thigh injury. Krunal Pandya will lead the Super Giants in Rahul's absence.",https://indianexpress.com/article/sports/cricket/lucknow-super-giants-vs-chennai-super-kings-live-score-ipl-2023-lsg-vs-csk-latest-scorecard-updates-8588730/
Protesting wrestlers say IOA president PT Usha expressed solidarity with them,"During her brief stay, Usha interacted with all the protesting wrestlers and told them that she felt for their cause and was with them in solidarity.",https://indianexpress.com/article/sports/sport-others/ioa-president-pt-usha-reaches-jantar-mantar-to-meet-protesting-wrestlers-8588910/
‘I had some medicine to make sure I fall asleep’: Ian Nepomniachtchi on his epic battle with Ding Liren,Ding Liren defeated Ian Nepomniachtchi to become 17th world chess champion.,https://indianexpress.com/article/sports/chess/i-had-some-medicine-to-make-sure-i-fall-asleep-ian-nepomniachtchi-on-his-epic-battle-with-ding-liren-8588923/
Watch: Lionel Messi cutouts displayed atop elephants during Thrissur Pooram festival in Kerala,"In the festival, large illuminated cut-outs of legendary footballer Messi holding the FIFA world cup were displayed atop 15 elephants lined up at the Thiruvambady side of the famous Sree Vadakkhumnathan Temple.",https://indianexpress.com/article/sports/football/watch-lionel-messi-cutouts-displayed-atop-elephants-during-thrissur-pooram-festival-8588766/
"Wrong VAR calls a big blow to title contenders in Premier League, Bundesliga",Both Borussia Dortmund and Arsenal have been on receiving end of wrong VAR calls which have affected their title charge.,https://indianexpress.com/article/sports/football/wrong-var-calls-a-big-blow-to-title-contenders-in-premier-league-bundesliga-8588795/
Steve Smith amused by fuss over his England county stint ahead of Ashes,Australian cricketers have long warmed up for Ashes tours in England in the County Championship but some local pundits fear Smith's stint at Sussex will only give the visitors a helping hand as they seek to retain the urn.,https://indianexpress.com/article/sports/cricket/steve-smith-amused-by-fuss-over-his-england-county-stint-ahead-of-ashes-8588611/
Magnus Carlsen: Classical chess is just too frustrating,"Norwegian says he has started putting less priority on classical chess, saying he’s fed up with the preparation.",https://indianexpress.com/article/sports/chess/magnus-carlsen-classical-chess-is-just-too-frustrating-8588758/
"PBKS vs MI tip-off XI: Rain likely to play spoilsport, Shokeen comes in for Kartikeya, Rathee to replace Chahar",IPL 2023: The match between Punjab Kings and Mumbai Indians is likely to be affected by rain.,https://indianexpress.com/article/sports/ipl/pbks-vs-mi-tip-off-xi-rain-likely-to-play-spoilsport-shokeen-kartikeya-rathee-chahar-8588704/
Suspension for few games could be better solution: Sunil Gavaskar on Kohli-Gambhir spat,"Gavaskar also questioned the extent of punishment to both the players, calling the penalty to both players of their match fees not enough.",https://indianexpress.com/article/sports/ipl/suspension-for-few-games-could-be-better-solution-says-gavaskar-over-kohli-and-gambhir-spat-8588615/
